teamName,goalsHalfTime_mean,xGoals_mean,shots_mean,shotsOnTarget_mean,ppda_mean,pressure_mode,cluster_label
Sheffield United,0.284,0.157,0.19,0.158,15.145,1,0
Caen,0.282,0.158,0.245,0.204,12.146,2,0
Crystal Palace,0.279,0.176,0.243,0.204,13.202,1,0
Carpi,0.278,0.172,0.241,0.196,11.502,2,0
Burnley,0.275,0.159,0.217,0.183,13.533,1,0
Levante,0.274,0.174,0.233,0.195,11.412,2,0
Brest,0.273,0.173,0.249,0.22,14.098,1,0
Cadiz,0.265,0.146,0.17,0.149,18.546,1,0
Getafe,0.264,0.167,0.225,0.193,9.081,2,0
Alaves,0.258,0.158,0.21,0.175,12.094,1,0
Middlesbrough,0.257,0.123,0.196,0.146,11.045,2,0
Nancy,0.25,0.129,0.211,0.159,11.106,2,0
Hull,0.25,0.132,0.231,0.188,15.08,1,0
Cardiff,0.243,0.166,0.233,0.184,18.463,1,0
Paderborn,0.234,0.165,0.278,0.219,13.08,1,0
Chievo,0.232,0.149,0.232,0.189,12.111,1,0
Frosinone,0.232,0.139,0.264,0.183,11.995,1,0
SD Huesca,0.229,0.177,0.246,0.208,11.395,1,0
Pescara,0.229,0.171,0.248,0.209,12.311,1,0
Fulham,0.225,0.166,0.251,0.205,15.062,1,0
Leganes,0.222,0.151,0.231,0.199,10.85,2,0
Norwich,0.217,0.152,0.232,0.189,13.67,2,0
Cordoba,0.216,0.118,0.218,0.171,11.607,1,0
Troyes,0.208,0.146,0.226,0.202,13.774,1,0
Nuernberg,0.206,0.157,0.226,0.17,20.304,1,0
Wolverhampton Wanderers,0.206,0.193,0.261,0.221,16.019,1,0
Cesena,0.206,0.137,0.202,0.168,11.661,1,0
Huddersfield,0.2,0.121,0.213,0.167,13.22,1,0
Arminia Bielefeld,0.125,0.138,0.209,0.167,16.341,1,0
